web-scraper-order,web-scraper-start-url,images-src
"1621407365-17552","https://www.bing.com/images/search?q=motif+batik+celup&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.7ltf8bdBNEOgeGnzCMTA5wHaFj?w=238&h=180&c=7&o=5&pid=1.7"
"1621407365-17072","https://www.bing.com/images/search?q=motif+batik+celup&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.RV-MWaCMl2z7QFX1v89hdAHaFE?w=247&h=180&c=7&o=5&pid=1.7"
"1621407365-16870","https://www.bing.com/images/search?q=motif+batik+celup&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.2rlkhmTvs3f3e5ZpPf1MzwHaJQ?w=128&h=180&c=7&o=5&pid=1.7"
"1621407365-16954","https://www.bing.com/images/search?q=motif+batik+celup&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.DePQMLGZCAevhiWBh8n-UQHaE7?w=250&h=180&c=7&o=5&pid=1.7"
"1621407365-17426","https://www.bing.com/images/search?q=motif+batik+celup&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.JmeWMT3vIO6YsfgnZGKqMAHaE8?w=269&h=180&c=7&o=5&pid=1.7"
"1621407365-17036","https://www.bing.com/images/search?q=motif+batik+celup&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.bzOmHZ0NApY0SJaqkSqrZAHaHa?w=163&h=180&c=7&o=5&pid=1.7"
"1621407365-17125","https://www.bing.com/images/search?q=motif+batik+celup&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.gCUOw0s9dsaW1yT8YbM4tAHaFi?w=195&h=180&c=7&o=5&pid=1.7"
"1621407365-17127","https://www.bing.com/images/search?q=motif+batik+celup&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.-GS8tPe-sTW2hGWXojrJZwHaJ4?w=115&h=180&c=7&o=5&pid=1.7"
"1621407365-17410","https://www.bing.com/images/search?q=motif+batik+celup&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.n4VzqOwqah95KUyOJN1cTwAAAA?w=186&h=159&c=7&o=5&pid=1.7"
"1621407365-16982","https://www.bing.com/images/search?q=motif+batik+celup&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.ugKOZVuzcFz2wvjuGOFUCwHaFI?w=236&h=180&c=7&o=5&pid=1.7"
"1621407365-16853","https://www.bing.com/images/search?q=motif+batik+celup&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.O63_YlPJZH-eH_kWjypyoQHaLW?w=115&h=180&c=7&o=5&pid=1.7"
"1621407365-17175","https://www.bing.com/images/search?q=motif+batik+celup&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.aTxzPvum8bplexAa56iQagHaJ4?w=148&h=180&c=7&o=5&pid=1.7"
"1621407365-17310","https://www.bing.com/images/search?q=motif+batik+celup&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.ssaMSgi7WiC4S14c4NzQbQHaJ4?w=139&h=185&c=7&o=5&pid=1.7"
"1621407365-17060","https://www.bing.com/images/search?q=motif+batik+celup&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.rw2XUiHGGc7AK0kg7ZpA9AHaD4?w=337&h=180&c=7&o=5&pid=1.7"
