web-scraper-order,web-scraper-start-url,images-src
"1621402621-4174","https://www.bing.com/images/search?q=motif%20batik%20ciamis&qs=n&form=QBIRMH&sp=-1&pq=motif%20batik%20c&sc=8-13&cvid=42BEB67420EC4BBF8B4D869100886164&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.Z2wRhFvfAb4STQJSzMpvbwHaFj?w=224&h=180&c=7&o=5&pid=1.7"
"1621402621-4086","https://www.bing.com/images/search?q=motif%20batik%20ciamis&qs=n&form=QBIRMH&sp=-1&pq=motif%20batik%20c&sc=8-13&cvid=42BEB67420EC4BBF8B4D869100886164&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.MPCB1pYJ6Tmpvhzx0a1W4wHaFz?w=237&h=186&c=7&o=5&pid=1.7"
"1621402621-3816","https://www.bing.com/images/search?q=motif%20batik%20ciamis&qs=n&form=QBIRMH&sp=-1&pq=motif%20batik%20c&sc=8-13&cvid=42BEB67420EC4BBF8B4D869100886164&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.TV-WqsF6YBE5ZbtsAjW8qgHaFj?w=252&h=189&c=7&o=5&pid=1.7"
"1621402621-4515","https://www.bing.com/images/search?q=motif%20batik%20ciamis&qs=n&form=QBIRMH&sp=-1&pq=motif%20batik%20c&sc=8-13&cvid=42BEB67420EC4BBF8B4D869100886164&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.Tx9getP2jUpnwGr-rIq-PQHaE8?w=262&h=180&c=7&o=5&pid=1.7"
"1621402621-4538","https://www.bing.com/images/search?q=motif%20batik%20ciamis&qs=n&form=QBIRMH&sp=-1&pq=motif%20batik%20c&sc=8-13&cvid=42BEB67420EC4BBF8B4D869100886164&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.i42dLN0QxldpSK1ej9_YRAHaHa?w=171&h=75&c=7&o=5&pid=1.7"
"1621402621-4118","https://www.bing.com/images/search?q=motif%20batik%20ciamis&qs=n&form=QBIRMH&sp=-1&pq=motif%20batik%20c&sc=8-13&cvid=42BEB67420EC4BBF8B4D869100886164&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.H4ElkXJ2RL7viiINN_C79AHaE8?w=269&h=180&c=7&o=5&pid=1.7"
"1621402621-4468","https://www.bing.com/images/search?q=motif%20batik%20ciamis&qs=n&form=QBIRMH&sp=-1&pq=motif%20batik%20c&sc=8-13&cvid=42BEB67420EC4BBF8B4D869100886164&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.Vk4fliUpnkdrl0Hg6gTrWAAAAA?w=136&h=180&c=7&o=5&pid=1.7"
"1621402621-3832","https://www.bing.com/images/search?q=motif%20batik%20ciamis&qs=n&form=QBIRMH&sp=-1&pq=motif%20batik%20c&sc=8-13&cvid=42BEB67420EC4BBF8B4D869100886164&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.bSirKRst-QdyTSlagsyOkAHaE8?w=269&h=180&c=7&o=5&pid=1.7"
"1621402621-3840","https://www.bing.com/images/search?q=motif%20batik%20ciamis&qs=n&form=QBIRMH&sp=-1&pq=motif%20batik%20c&sc=8-13&cvid=42BEB67420EC4BBF8B4D869100886164&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.8VzpS16kNy9PeWsSlD-2LQHaFj?w=215&h=180&c=7&o=5&pid=1.7"
"1621402621-4428","https://www.bing.com/images/search?q=motif%20batik%20ciamis&qs=n&form=QBIRMH&sp=-1&pq=motif%20batik%20c&sc=8-13&cvid=42BEB67420EC4BBF8B4D869100886164&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.DKE86lW702UHHGA9mu4E7wAAAA?w=115&h=180&c=7&o=5&pid=1.7"
