web-scraper-order,web-scraper-start-url,images-src
"1621403574-6269","https://www.bing.com/images/search?q=motif+batik+kawung&go=Search&qs=ds&form=QBIRMH&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.4krD0Dyl5qEMnEMLP4mXTwHaI1?w=151&h=181&c=7&o=5&pid=1.7"
"1621403574-6454","https://www.bing.com/images/search?q=motif+batik+kawung&go=Search&qs=ds&form=QBIRMH&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.6Sf090QR_-L3ACPsk5g_7wHaHa?w=150&h=180&c=7&o=5&pid=1.7"
"1621403574-6626","https://www.bing.com/images/search?q=motif+batik+kawung&go=Search&qs=ds&form=QBIRMH&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.jBuHR2wI5WhwEejl9_0IGwAAAA?w=148&h=196&c=7&o=5&pid=1.7"
"1621403574-6059","https://www.bing.com/images/search?q=motif+batik+kawung&go=Search&qs=ds&form=QBIRMH&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.tUES8Rgag3v7AZkj4M1PhAHaLM?w=115&h=180&c=7&o=5&pid=1.7"
"1621403574-6763","https://www.bing.com/images/search?q=motif+batik+kawung&go=Search&qs=ds&form=QBIRMH&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.gcbOpYaH2hAPNIozDstgigDVEl?w=116&h=180&c=7&o=5&pid=1.7"
"1621403574-6307","https://www.bing.com/images/search?q=motif+batik+kawung&go=Search&qs=ds&form=QBIRMH&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.Wr68rKqsFdCbeP2WAjQ2LAHaHa?w=140&h=184&c=7&o=5&pid=1.7"
"1621403574-6776","https://www.bing.com/images/search?q=motif+batik+kawung&go=Search&qs=ds&form=QBIRMH&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.kyHgSXyRlUueRNwBq7glHgHaEc?w=268&h=180&c=7&o=5&pid=1.7"
"1621403574-6243","https://www.bing.com/images/search?q=motif+batik+kawung&go=Search&qs=ds&form=QBIRMH&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.7yQsTgVdsxUx1WYSzcLjqAHaHa?w=145&h=180&c=7&o=5&pid=1.7"
"1621403574-6202","https://www.bing.com/images/search?q=motif+batik+kawung&go=Search&qs=ds&form=QBIRMH&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.saIOi_u2YuFdf8-SN-QwiQHaHa?w=169&h=180&c=7&o=5&pid=1.7"
"1621403574-6316","https://www.bing.com/images/search?q=motif+batik+kawung&go=Search&qs=ds&form=QBIRMH&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.1mjuaXps8yreCjGXCySSiAAAAA?w=119&h=180&c=7&o=5&pid=1.7"
"1621403574-6154","https://www.bing.com/images/search?q=motif+batik+kawung&go=Search&qs=ds&form=QBIRMH&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.zSJn6da_gfd53lpHAynyUwHaFD?w=265&h=181&c=7&o=5&pid=1.7"
"1621403574-6254","https://www.bing.com/images/search?q=motif+batik+kawung&go=Search&qs=ds&form=QBIRMH&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.guro3peno2pj9f3b9d2OvwHaHa?w=169&h=180&c=7&o=5&pid=1.7"
"1621403574-6206","https://www.bing.com/images/search?q=motif+batik+kawung&go=Search&qs=ds&form=QBIRMH&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.nLVR973i4AY8rMoHIb2GhAHaJ4?w=126&h=180&c=7&o=5&pid=1.7"
"1621403574-6398","https://www.bing.com/images/search?q=motif+batik+kawung&go=Search&qs=ds&form=QBIRMH&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP._WJ8t7XX9B0G2CgzPmz-DwHaFN?w=221&h=180&c=7&o=5&pid=1.7"
"1621403574-6035","https://www.bing.com/images/search?q=motif+batik+kawung&go=Search&qs=ds&form=QBIRMH&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.gdGAYuQ0_Dd3fwaaTA7J_AHaLG?w=120&h=180&c=7&o=5&pid=1.7"
"1621403574-6524","https://www.bing.com/images/search?q=motif+batik+kawung&go=Search&qs=ds&form=QBIRMH&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.PuIWcgTqioMVL5k_GPBc6gAAAA?w=122&h=180&c=7&o=5&pid=1.7"
"1621403574-6598","https://www.bing.com/images/search?q=motif+batik+kawung&go=Search&qs=ds&form=QBIRMH&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.PRlbwdru8bEWh0q_F5RVzwHaEK?w=324&h=182&c=7&o=5&pid=1.7"
"1621403574-6253","https://www.bing.com/images/search?q=motif+batik+kawung&go=Search&qs=ds&form=QBIRMH&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.Lw5UwsxaL5_3UJiYmEM5EQHaD6?w=321&h=180&c=7&o=5&pid=1.7"
"1621403574-6756","https://www.bing.com/images/search?q=motif+batik+kawung&go=Search&qs=ds&form=QBIRMH&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.78FGaFWsDjvupEc4Xi5_3AHaD5?w=344&h=181&c=7&o=5&pid=1.7"
"1621403574-6603","https://www.bing.com/images/search?q=motif+batik+kawung&go=Search&qs=ds&form=QBIRMH&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.yYdNZzAkQZPKOjXiFK6ziwAAAA?w=123&h=180&c=7&o=5&pid=1.7"
"1621403574-6645","https://www.bing.com/images/search?q=motif+batik+kawung&go=Search&qs=ds&form=QBIRMH&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.4fWTamjYOsHqL0iVUAXnfAHaHa?w=179&h=180&c=7&o=5&pid=1.7"
"1621403574-6651","https://www.bing.com/images/search?q=motif+batik+kawung&go=Search&qs=ds&form=QBIRMH&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.6kFrkyzU_iSuL8Bvei8SAQHaKX?w=137&h=192&c=7&o=5&pid=1.7"
"1621403574-6383","https://www.bing.com/images/search?q=motif+batik+kawung&go=Search&qs=ds&form=QBIRMH&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.FHSI9__nikPN8VVTPVfoOgHaJy?w=152&h=201&c=7&o=5&pid=1.7"
"1621403574-6534","https://www.bing.com/images/search?q=motif+batik+kawung&go=Search&qs=ds&form=QBIRMH&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.Z0HQsnFCm633j9Or_bKEVQAAAA?w=142&h=189&c=7&o=5&pid=1.7"
"1621403574-6515","https://www.bing.com/images/search?q=motif+batik+kawung&go=Search&qs=ds&form=QBIRMH&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP._lTJRNjkMV7VF884C0LjoQAAAA?w=132&h=180&c=7&o=5&pid=1.7"
"1621403574-6717","https://www.bing.com/images/search?q=motif+batik+kawung&go=Search&qs=ds&form=QBIRMH&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.FSsHoebrWMgEmUaSTOeKcgHaHa?w=165&h=180&c=7&o=5&pid=1.7"
"1621403574-6435","https://www.bing.com/images/search?q=motif+batik+kawung&go=Search&qs=ds&form=QBIRMH&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.QqiuOR4HQ9EQbQ3Jd-OwYwHaHa?w=203&h=203&c=7&o=5&pid=1.7"
"1621403574-6113","https://www.bing.com/images/search?q=motif+batik+kawung&go=Search&qs=ds&form=QBIRMH&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP._OzK7AMpKiELLJEAHbUkOAHaE7?w=244&h=180&c=7&o=5&pid=1.7"
"1621403574-6340","https://www.bing.com/images/search?q=motif+batik+kawung&go=Search&qs=ds&form=QBIRMH&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.bAXRnxmvVs3lZcMHGaMRpAHaE8?w=255&h=186&c=7&o=5&pid=1.7"
"1621403574-6646","https://www.bing.com/images/search?q=motif+batik+kawung&go=Search&qs=ds&form=QBIRMH&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.zvdFbIRJ-l3ptYdvZJKNMwHaKX?w=128&h=180&c=7&o=5&pid=1.7"
"1621403574-6149","https://www.bing.com/images/search?q=motif+batik+kawung&go=Search&qs=ds&form=QBIRMH&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.0pNJwYEQRGqiPfnCEIKa5wHaKs?w=118&h=180&c=7&o=5&pid=1.7"
"1621403574-6103","https://www.bing.com/images/search?q=motif+batik+kawung&go=Search&qs=ds&form=QBIRMH&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.9X6YdHQPIsr0OP568iRsngHaHa?w=157&h=180&c=7&o=5&pid=1.7"
"1621403574-6450","https://www.bing.com/images/search?q=motif+batik+kawung&go=Search&qs=ds&form=QBIRMH&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.UKwvT_WlUs_1Ro4FGCxREAAAAA?w=150&h=180&c=7&o=5&pid=1.7"
"1621403574-6261","https://www.bing.com/images/search?q=motif+batik+kawung&go=Search&qs=ds&form=QBIRMH&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.Yug23FYQ86k64frvXeGWgAHaEw?w=305&h=196&c=7&o=5&pid=1.7"
"1621403574-6267","https://www.bing.com/images/search?q=motif+batik+kawung&go=Search&qs=ds&form=QBIRMH&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.BCXI0Xhm-DjsS935mOePUgHaEO?w=330&h=188&c=7&o=5&pid=1.7"
"1621403574-6761","https://www.bing.com/images/search?q=motif+batik+kawung&go=Search&qs=ds&form=QBIRMH&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.9vXE0LNJWSrOGvQUYi9zRQHaHa?w=160&h=180&c=7&o=5&pid=1.7"
"1621403574-6031","https://www.bing.com/images/search?q=motif+batik+kawung&go=Search&qs=ds&form=QBIRMH&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.G4rDycS6TSomwnAEM11vnwHaFj?w=241&h=181&c=7&o=5&pid=1.7"
"1621403574-6476","https://www.bing.com/images/search?q=motif+batik+kawung&go=Search&qs=ds&form=QBIRMH&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.gwlW2kLEIi-jU2Gkv1Ad1gHaHa?w=187&h=188&c=7&o=5&pid=1.7"
"1621403574-6607","https://www.bing.com/images/search?q=motif+batik+kawung&go=Search&qs=ds&form=QBIRMH&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.5vgxJizB7ZMjU65TZz6unwHaE8?w=253&h=180&c=7&o=5&pid=1.7"
"1621403574-6730","https://www.bing.com/images/search?q=motif+batik+kawung&go=Search&qs=ds&form=QBIRMH&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.YVGuWwDQ9THkstII649YcQAAAA?w=121&h=180&c=7&o=5&pid=1.7"
"1621403574-6660","https://www.bing.com/images/search?q=motif+batik+kawung&go=Search&qs=ds&form=QBIRMH&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.q23KxeZor74rY3ifpFF7xAHaJ1?w=148&h=198&c=7&o=5&pid=1.7"
"1621403574-6312","https://www.bing.com/images/search?q=motif+batik+kawung&go=Search&qs=ds&form=QBIRMH&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.cFid4ZdH8vhiumHM5rawMAHaEK?w=278&h=180&c=7&o=5&pid=1.7"
"1621403574-6042","https://www.bing.com/images/search?q=motif+batik+kawung&go=Search&qs=ds&form=QBIRMH&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.f3P5ob5L4zV3Qu8HZXnLBwHaKd?w=134&h=190&c=7&o=5&pid=1.7"
