web-scraper-order,web-scraper-start-url,images-src
"1621403871-7340","https://www.bing.com/images/search?q=motif+batik+keraton&go=Search&qs=ds&form=QBIR&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.0eluRcqWQ2Z_I3x5r2GFVwHaFg?w=198&h=180&c=7&o=5&pid=1.7"
"1621403871-7127","https://www.bing.com/images/search?q=motif+batik+keraton&go=Search&qs=ds&form=QBIR&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.okSBOVjKvCAa0HstPiA8hwAAAA?w=115&h=180&c=7&o=5&pid=1.7"
"1621403871-7315","https://www.bing.com/images/search?q=motif+batik+keraton&go=Search&qs=ds&form=QBIR&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.sZmCCrX9iShX2_j2XxIrhQHaE8?w=270&h=180&c=7&o=5&pid=1.7"
"1621403871-6910","https://www.bing.com/images/search?q=motif+batik+keraton&go=Search&qs=ds&form=QBIR&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.mYIA7LkYzX5EO5KyhrMeZAHaFj?w=244&h=183&c=7&o=5&pid=1.7"
"1621403871-6964","https://www.bing.com/images/search?q=motif+batik+keraton&go=Search&qs=ds&form=QBIR&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.z9KLdcKk9qZWFGgS-nIr4gHaEK?w=324&h=182&c=7&o=5&pid=1.7"
"1621403871-6820","https://www.bing.com/images/search?q=motif+batik+keraton&go=Search&qs=ds&form=QBIR&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.zf5QR-PJzu7nULMxg7oKMwHaHa?w=180&h=180&c=7&o=5&pid=1.7"
"1621403871-7034","https://www.bing.com/images/search?q=motif+batik+keraton&go=Search&qs=ds&form=QBIR&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.OEkvrTGeuZJVK8RabmEQ_AHaDt?w=348&h=174&c=7&o=5&pid=1.7"
"1621403871-7314","https://www.bing.com/images/search?q=motif+batik+keraton&go=Search&qs=ds&form=QBIR&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.llY4X7sJZEE9NsmX6PgtwQHaDt?w=350&h=175&c=7&o=5&pid=1.7"
"1621403871-7087","https://www.bing.com/images/search?q=motif+batik+keraton&go=Search&qs=ds&form=QBIR&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.9ALGY0HXssirPxzwRu938QHaFA?w=231&h=180&c=7&o=5&pid=1.7"
"1621403871-6929","https://www.bing.com/images/search?q=motif+batik+keraton&go=Search&qs=ds&form=QBIR&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.6nIuzkBmGd1N82yccWVzZgHaEK?w=324&h=182&c=7&o=5&pid=1.7"
