web-scraper-order,web-scraper-start-url,images-src
"1621407118-16403","https://www.bing.com/images/search?q=motif+batik+sidoluhur&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.qGMHD6toLUR8tnrG_v8quQHaEN?w=259&h=183&c=7&o=5&pid=1.7"
"1621407118-16342","https://www.bing.com/images/search?q=motif+batik+sidoluhur&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.5EuetPieEVnooLKlwKAoJAHaEK?w=309&h=180&c=7&o=5&pid=1.7"
"1621407118-16074","https://www.bing.com/images/search?q=motif+batik+sidoluhur&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.0ugxxmOGean0srMKWP77kgHaE8?w=239&h=180&c=7&o=5&pid=1.7"
"1621407118-16706","https://www.bing.com/images/search?q=motif+batik+sidoluhur&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.nxn47iKZ8zadUMZAqC9PpQHaJl?w=126&h=180&c=7&o=5&pid=1.7"
"1621407118-16516","https://www.bing.com/images/search?q=motif+batik+sidoluhur&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.2Dg59WfazegOitd4j6ytcQHaEx?w=273&h=180&c=7&o=5&pid=1.7"
"1621407118-16783","https://www.bing.com/images/search?q=motif+batik+sidoluhur&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.d8k2c9FBEXeFHyTsDrdXeAHaHa?w=157&h=180&c=7&o=5&pid=1.7"
"1621407118-16639","https://www.bing.com/images/search?q=motif+batik+sidoluhur&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.NsXW1ppGprMvamfLvt7jTgHaHa?w=153&h=180&c=7&o=5&pid=1.7"
"1621407118-16635","https://www.bing.com/images/search?q=motif+batik+sidoluhur&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.8aPYR_H2VLueIaHwj0CqswHaFj?w=206&h=180&c=7&o=5&pid=1.7"
"1621407118-16596","https://www.bing.com/images/search?q=motif+batik+sidoluhur&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.0XITXv-NP8kG-nh_LBfdIQHaFj?w=219&h=180&c=7&o=5&pid=1.7"
"1621407118-16018","https://www.bing.com/images/search?q=motif+batik+sidoluhur&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.hwlHY-ntxwCTwOk97JKF9gHaFj?w=244&h=183&c=7&o=5&pid=1.7"
"1621407118-16661","https://www.bing.com/images/search?q=motif+batik+sidoluhur&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.uvfiwmTSbRxG-evJmeNNEgAAAA?w=130&h=150&c=7&o=5&pid=1.7"
"1621407118-16808","https://www.bing.com/images/search?q=motif+batik+sidoluhur&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.pFcW9aXQjVkExhH_2thtIAAAAA?w=149&h=129&c=7&o=5&pid=1.7"
"1621407118-16486","https://www.bing.com/images/search?q=motif+batik+sidoluhur&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.QCJNZsRhHUqLZQOBQytR8QHaE8?w=246&h=180&c=7&o=5&pid=1.7"
"1621407118-16629","https://www.bing.com/images/search?q=motif+batik+sidoluhur&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.Yxg1Y4vDGGA4Xx4Dmf7cMAAAAA?w=144&h=127&c=7&o=5&pid=1.7"
"1621407118-16383","https://www.bing.com/images/search?q=motif+batik+sidoluhur&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.QbuKTF6yJEawhO1lM8RntwHaFj?w=218&h=180&c=7&o=5&pid=1.7"
"1621407118-16586","https://www.bing.com/images/search?q=motif+batik+sidoluhur&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.H8Y83SMRi3yr5D4ofvyFbAHaHe?w=174&h=180&c=7&o=5&pid=1.7"
"1621407118-16216","https://www.bing.com/images/search?q=motif+batik+sidoluhur&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.1dCy7POHkZF2kB67uQsVDgHaFl?w=260&h=195&c=7&o=5&pid=1.7"
"1621407118-16020","https://www.bing.com/images/search?q=motif+batik+sidoluhur&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.uUOPbUg1Euqe2oH-ZRKCMgHaLH?w=122&h=183&c=7&o=5&pid=1.7"
"1621407118-16339","https://www.bing.com/images/search?q=motif+batik+sidoluhur&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.8YkYHItyn1UpdTsB0fomzQHaEO?w=323&h=184&c=7&o=5&pid=1.7"
"1621407118-16254","https://www.bing.com/images/search?q=motif+batik+sidoluhur&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.Eb1sjNt2M4X0fC6WoXwEmQHaJ3?w=130&h=180&c=7&o=5&pid=1.7"
"1621407118-16677","https://www.bing.com/images/search?q=motif+batik+sidoluhur&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.NK7hj0l8nUjrrc1kZTmBvAHaHa?w=163&h=180&c=7&o=5&pid=1.7"
"1621407118-16127","https://www.bing.com/images/search?q=motif+batik+sidoluhur&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.GMCih2ko7Aj8skGCZFKgigHaFj?w=230&h=180&c=7&o=5&pid=1.7"
"1621407118-16410","https://www.bing.com/images/search?q=motif+batik+sidoluhur&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.DciLGHWmAp8DaGvAOCYkZQHaD4?w=265&h=180&c=7&o=5&pid=1.7"
"1621407118-16386","https://www.bing.com/images/search?q=motif+batik+sidoluhur&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.Fjmxljw2FQ16Q39NJpyGawHaD4?w=345&h=181&c=7&o=5&pid=1.7"
"1621407118-16772","https://www.bing.com/images/search?q=motif+batik+sidoluhur&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.LQNK3xTQt-czW8wQAWYlqQHaJT?w=126&h=180&c=7&o=5&pid=1.7"
