web-scraper-order,web-scraper-start-url,images-src
"1621407113-14057","https://www.bing.com/images/search?q=motif+batik+tambal&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.k4O9SEhAjyyrB-G_5_TsEAHaNK?w=115&h=180&c=7&o=5&pid=1.7"
"1621407113-14413","https://www.bing.com/images/search?q=motif+batik+tambal&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.5cYEnMoPChCQHp1-zaokRQAAAA?w=194&h=168&c=7&o=5&pid=1.7"
"1621407113-14061","https://www.bing.com/images/search?q=motif+batik+tambal&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.vhwIUaiwpLyC6a4ajIgJWQAAAA?w=137&h=183&c=7&o=5&pid=1.7"
"1621407113-14026","https://www.bing.com/images/search?q=motif+batik+tambal&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.KTsbiyqrG8aSrT5rUDUMAQHaJ4?w=131&h=180&c=7&o=5&pid=1.7"
"1621407113-14483","https://www.bing.com/images/search?q=motif+batik+tambal&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.x-p1yNbV0cmXrHO2CO8P0gAAAA?w=196&h=159&c=7&o=5&pid=1.7"
"1621407113-14259","https://www.bing.com/images/search?q=motif+batik+tambal&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.DS6Gy0CiEL422XTG7-OE4gAAAA?w=183&h=183&c=7&o=5&pid=1.7"
"1621407113-14550","https://www.bing.com/images/search?q=motif+batik+tambal&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.Fa8OjgvHAmgM6BXKsb_a-wAAAA?w=132&h=180&c=7&o=5&pid=1.7"
"1621407113-14155","https://www.bing.com/images/search?q=motif+batik+tambal&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.RFdkaDBYxGT8GDWGcLGxHQHaDJ?w=296&h=148&c=7&o=5&pid=1.7"
"1621407113-14350","https://www.bing.com/images/search?q=motif+batik+tambal&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.YpjN4cfRSCSHphSu_y2P_QHaFj?w=229&h=180&c=7&o=5&pid=1.7"
"1621407113-13910","https://www.bing.com/images/search?q=motif+batik+tambal&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.gxDUABP9ovU7JN8pwbbs9QHaD-?w=271&h=183&c=7&o=5&pid=1.7"
"1621407113-14327","https://www.bing.com/images/search?q=motif+batik+tambal&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.DKt9AyBed7ZJNkoqnifY0QAAAA?w=121&h=173&c=7&o=5&pid=1.7"
"1621407113-14571","https://www.bing.com/images/search?q=motif+batik+tambal&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.tayOdP7wqj9-CXKfHHkTQgEsDB?w=210&h=80&c=7&o=5&pid=1.7"
"1621407113-14434","https://www.bing.com/images/search?q=motif+batik+tambal&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.Bq2oUqQAFgq30uXVE1QcsQHaJ4?w=137&h=183&c=7&o=5&pid=1.7"
"1621407113-14052","https://www.bing.com/images/search?q=motif+batik+tambal&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.43r4FdVE_FFOFCVWxxBhqQAAAA?w=151&h=190&c=7&o=5&pid=1.7"
"1621407113-14072","https://www.bing.com/images/search?q=motif+batik+tambal&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.BLv2YqpEQhV3tSLNR75kzgHaHa?w=184&h=183&c=7&o=5&pid=1.7"
"1621407113-14342","https://www.bing.com/images/search?q=motif+batik+tambal&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP._msJsoVoJoGXK0_0VL3JiQHaE6?w=226&h=180&c=7&o=5&pid=1.7"
"1621407113-14232","https://www.bing.com/images/search?q=motif+batik+tambal&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.ybYLJD7DGL57hGHS27X8HAAAAA?w=159&h=142&c=7&o=5&pid=1.7"
"1621407113-14254","https://www.bing.com/images/search?q=motif+batik+tambal&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.z7dnJ7XRgS5awAXKURPHdAAAAA?w=124&h=180&c=7&o=5&pid=1.7"
"1621407113-14066","https://www.bing.com/images/search?q=motif+batik+tambal&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.g7XHaLgKp4MYbZVkf4an3QAAAA?w=137&h=183&c=7&o=5&pid=1.7"
"1621407113-14120","https://www.bing.com/images/search?q=motif+batik+tambal&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.wLqQ3ak5nfhrIrdvw9kYDAHaHa?w=141&h=180&c=7&o=5&pid=1.7"
"1621407113-14402","https://www.bing.com/images/search?q=motif+batik+tambal&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.DIzAbo9Gg9My2-3p7Q-_mgAAAA?w=131&h=150&c=7&o=5&pid=1.7"
"1621407113-14173","https://www.bing.com/images/search?q=motif+batik+tambal&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.f81eGAO5sye_PhuaymF4BwHaD4?w=285&h=180&c=7&o=5&pid=1.7"
"1621407113-14496","https://www.bing.com/images/search?q=motif+batik+tambal&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.dnutt-4-j2TJEdlj8gBwswHaFM?w=213&h=180&c=7&o=5&pid=1.7"
"1621407113-14239","https://www.bing.com/images/search?q=motif+batik+tambal&form=HDRSC2&first=1&tsc=ImageBasicHover","https://th.bing.com/th/id/OIP.zefYgvnI3PaNI1bKZbtzVAHaE6?w=252&h=180&c=7&o=5&pid=1.7"
